Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2010","2010","g/cap/d","2.25","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2010","2010","g/cap/d","0.93","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2011","2011","kcal/cap/d","111.79","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2011","2011","g/cap/d","2.31","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2011","2011","g/cap/d","0.95","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2012","2012","kcal/cap/d","112.67","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2012","2012","g/cap/d","2.33","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2012","2012","g/cap/d","0.96","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2013","2013","kcal/cap/d","114.31","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2013","2013","g/cap/d","2.36","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2013","2013","g/cap/d","0.97","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2014","2014","kcal/cap/d","111.92","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2014","2014","g/cap/d","2.31","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2014","2014","g/cap/d","0.95","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2015","2015","kcal/cap/d","131.71","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2015","2015","g/cap/d","2.72","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2015","2015","g/cap/d","1.12","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2016","2016","kcal/cap/d","126.85","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2016","2016","g/cap/d","2.62","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2016","2016","g/cap/d","1.08","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2017","2017","kcal/cap/d","130.86","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2017","2017","g/cap/d","2.71","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2017","2017","g/cap/d","1.11","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2018","2018","kcal/cap/d","133.86","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2018","2018","g/cap/d","2.77","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2018","2018","g/cap/d","1.14","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2019","2019","kcal/cap/d","129.67","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2019","2019","g/cap/d","2.68","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2019","2019","g/cap/d","1.1","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2020","2020","kcal/cap/d","135.46","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2020","2020","g/cap/d","2.8","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2514","Maize and products","2020","2020","g/cap/d","1.15","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2021","2021","kcal/cap/d","159.69","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","3.3","E","Estimated value",""
